"nazwa img";"nazwa"
"img1";"Zdrowie"
"img1_1";"Podstawy zdrowia"
"img1_1_1";"Świadomość"
"img1_1_2";"Medytacja"
"img1_1_2_2";"BRAK NAZWY W DANYCH"
"img1_1_2_2_1";"BRAK NAZWY W DANYCH"
"img1_1_2_2_2";"BRAK NAZWY W DANYCH"
"img1_1_2_2_3";"BRAK NAZWY W DANYCH"
"img1_1_3";"Żywienie"
"img1_1_3_1";"BRAK NAZWY W DANYCH"
"img1_1_3_2";"BRAK NAZWY W DANYCH"
"img1_1_3_3";"BRAK NAZWY W DANYCH"
"img1_1_4";"Polecane książki"
"img1_1_4_1";"Inzynieria wnętrza"
"img1_1_4_2";"Karma"
"img1_1_4_3";"Polecane Wykłady"
"img1_1_5";"Polecane wykłady"
"img1_1_5_1";"BRAK NAZWY W DANYCH"
"img1_1_5_1_1";"BRAK NAZWY W DANYCH"
"img1_1_5_1_2";"BRAK NAZWY W DANYCH"
"img1_1_5_1_2_1";"BRAK NAZWY W DANYCH"
"img1_1_5_1_2_2";"BRAK NAZWY W DANYCH"
"img1_1_5_1_2_3";"BRAK NAZWY W DANYCH"
"img1_1_5_2";"BRAK NAZWY W DANYCH"
"img1_1_5_2_1";"BRAK NAZWY W DANYCH"
"img1_1_5_2_2";"BRAK NAZWY W DANYCH"
"img1_1_5_2_2_1";"BRAK NAZWY W DANYCH"
"img1_1_5_2_2_2";"BRAK NAZWY W DANYCH"
"img1_1_5_2_2_3";"BRAK NAZWY W DANYCH"
"img1_1_5_3";"BRAK NAZWY W DANYCH"
"img1_1_5_3_1";"BRAK NAZWY W DANYCH"
"img1_1_5_3_2";"BRAK NAZWY W DANYCH"
"img1_1_5_3_2_1";"BRAK NAZWY W DANYCH"
"img1_1_5_3_2_2";"BRAK NAZWY W DANYCH"
"img1_1_5_3_2_3";"BRAK NAZWY W DANYCH"
"img1_1_6";"BRAK NAZWY W DANYCH"
"img1_1_7";"BRAK NAZWY W DANYCH"
"img1_2";"Badania"
"img1_3";"BRAK NAZWY W DANYCH"
"img1_3_1";"BRAK NAZWY W DANYCH"
"img1_3_1_1";"BRAK NAZWY W DANYCH"
"img1_3_1_2";"BRAK NAZWY W DANYCH"
"img1_3_2";"BRAK NAZWY W DANYCH"
"img1_3_2_1";"BRAK NAZWY W DANYCH"
"img1_3_3";"BRAK NAZWY W DANYCH"
"img1_4";"Terapie"
"img1_4_1";"Oczyszczające wzmocnienie"
"img1_4_1_1";"Oczyszczanie z pasożytów"
"img1_4_1_2";"Oczyszczanie z Metali ciężkich"
"img1_4_1_2_1";"BRAK NAZWY W DANYCH"
"img1_4_1_2_10";"BRAK NAZWY W DANYCH"
"img1_4_1_2_2";"Oczyszczanie z metali ciężkich"
"img1_4_1_2_3";"BRAK NAZWY W DANYCH"
"img1_4_1_2_4";"BRAK NAZWY W DANYCH"
"img1_4_1_2_5";"BRAK NAZWY W DANYCH"
"img1_4_1_2_6";"BRAK NAZWY W DANYCH"
"img1_4_1_2_7";"BRAK NAZWY W DANYCH"
"img1_4_1_2_8";"BRAK NAZWY W DANYCH"
"img1_4_1_2_9";"BRAK NAZWY W DANYCH"
"img1_4_1_3";"Sauna"
"img1_4_1_3_1";"Sauna sucha (fińska)"
"img1_4_1_3_2";"BRAK NAZWY W DANYCH"
"img1_4_1_3_3";"Sauna parowa (łaźnia rzymska)"
"img1_4_1_4";"Morsowanie"
"img1_4_1_5";"Dotlenienie"
"img1_4_1_6";"Uziemienie"
"img1_4_1_7";"Konchowanie"
"img1_4_1_8";"Kąpiele"
"img1_4_1_8_1";"Kąpiel w soli Epsom"
"img1_4_1_8_10";"Kąpiel z sodą oczyszczoną"
"img1_4_1_8_2";"Kąpiel Kleopatry"
"img1_4_1_8_3";"Kąpiel owsiana na podrażnienia"
"img1_4_1_8_4";"Kąpiel ziołowa (relaks lub przeziębienie)"
"img1_4_1_8_5";"Kąpiel rozgrzewająca z olejkami eterycznymi"
"img1_4_1_8_6";"Kąpiel Imbirowa (Rozgrzewająca i Przeciwprzeziębieniowa)"
"img1_4_1_8_7";"Kąpiel z Piołunu Chińskiego  Mugwort"
"img1_4_1_8_8";"Kąpiel Różana (Relaksująca i Wzmacniająca)"
"img1_4_1_8_9";"BRAK NAZWY W DANYCH"
"img1_4_10";"Syropy"
"img1_4_10_1";"BRAK NAZWY W DANYCH"
